file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CoinChange.java,CoinChange,class,2,13,1,5,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,2,6,0,0,0,5,16,14,10,10,9,3,0,0,0,42
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GuassLegendre.java,GuassLegendre,class,2,5,1,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,2,2,0,0,2,0,23,16,10,10,8,1,0,0,0,13
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/EmptyHeapException.java,DataStructures.Heaps.EmptyHeapException,class,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,class,1,18,1,11,0,6,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,77,5,1,5,0,0,2,17,6,5,5,6,2,0,1,0,10
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,class,1,107,1,42,0,21,2,21,0,0,0,0,0,0,5,1,0,5,0,0,0,0,23,402,10,23,5,6,7,50,46,113,8,8,41,5,0,0,1,128
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RootPrecision.java,RootPrecision,class,1,2,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,0,0,2,7,2,2,6,0,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,class,3,15,1,5,4,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,104,1,6,0,0,0,3,42,47,2,2,17,2,0,2,0,32
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,class,3,7,1,9,0,5,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,4,0,11,0,0,2,9,6,0,0,4,1,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,class,4,29,1,19,0,10,0,5,5,0,0,0,0,0,1,0,0,1,0,0,1,0,6,83,4,3,1,2,17,6,37,10,32,32,6,2,0,0,0,57
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SearchAlgorithm.java,Searches.SearchAlgorithm,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,28
