file,class,method,variable,usage
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,findHeight/1[Node],left,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,findHeight/1[Node],right,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,Node/1[int],data,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,insert/1[int],data,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,insert/1[int],left,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,insert/1[int],right,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,printLevelOrder/0,data,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,printLevelOrder/0,left,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,printLevelOrder/0,right,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,contains/1[java.lang.String],table,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getElementDouble/2[int,int],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.io.File],pathCSVFile,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.io.File],trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.io.File],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,set/3[int,int,java.lang.String],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,isPunctuation/1[char],PATTERN_PUNCTUATION,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,removeRow/1[int],trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,removeRow/1[int],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.lang.String,char],seperator,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/0,pathCSVFile,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/0,trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/0,table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getColumn/1[int],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.lang.String],pathCSVFile,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.lang.String],trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,commit/1[java.lang.String],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.io.File,char],pathCSVFile,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.io.File,char],trackList,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.io.File,char],seperator,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/2[java.io.File,char],table,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,addRow/1[java.lang.String],trackList,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,addRow/1[java.lang.String],seperator,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,addRow/1[java.lang.String],table,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/1[java.io.File],trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/1[java.io.File],table,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getElementString/2[int,int],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getNumberOfRows/0,table,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/1[char],pathCSVFile,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/1[char],trackList,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/1[char],seperator,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,CSVFile/1[char],table,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/0,pathCSVFile,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/0,trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,updateFile/0,table,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,removeRow/1[java.lang.String],trackList,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,removeRow/1[java.lang.String],table,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,findRow/1[java.lang.String],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getColumn/1[java.lang.String],table,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,result,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,parent,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,edge,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,src,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,V,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,v,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,rank,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,i,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,weight,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,dest,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,KruskalMST/0,subsets,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],parent,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],yroot,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],rank,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],xroot,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Union/3[Graph.subset,int,int],subsets,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Graph/2[int,int],edge,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Graph/2[int,int],E,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,Graph/2[int,int],V,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],edge,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],src,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],weight,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],dest,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,main/1[java.lang.String[]],graph,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,find/2[Graph.subset,int],parent,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,find/2[Graph.subset,int],i,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/KruskalsAlgorithm.java,Graph,find/2[Graph.subset,int],subsets,0
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,peek/0,_queue,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,poll/0,_queue,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,hasElements/0,_queue,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GenericArrayListQueue.java,GenericArrayListQueue,add/1[T],_queue,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,getElementKey/1[int],minHeap,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,swap/2[int,int],minHeap,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,MinHeap/1[java.util.List<DataStructures.Heaps.HeapElement>],minHeap,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,getElement/1[int],minHeap,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,toggleUp/1[int],minHeap,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,deleteElement/1[int],minHeap,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,insertElement/1[DataStructures.Heaps.HeapElement],minHeap,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,toggleDown/1[int],minHeap,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinHeap.java,DataStructures.Heaps.MinHeap,extractMin/0,minHeap,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,display/0,Head,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,LinkedList/0,Head,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,LinkedList/0,size,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,insert/1[int],Head,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,insert/1[int],size,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,delete/1[int],Head,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/LinkedList.java,LinkedList,delete/1[int],size,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,peekBack/0,inStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,remove/0,inStack,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,remove/0,outStack,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,insert/1[java.lang.Object],inStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,QueueWithStack/0,inStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,QueueWithStack/0,outStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,isEmpty/0,inStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,isEmpty/0,outStack,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,peekFront/0,inStack,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QueueUsingTwoStacks.java,QueueUsingTwoStacks,peekFront/0,outStack,3
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,FloydWarshall/1[int],numberofvertices,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,FloydWarshall/1[int],DistanceMatrix,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,main/1[java.lang.String],INFINITY,1
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,floydwarshall/1[int],numberofvertices,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FloydWarshall.java,FloydWarshall,floydwarshall/1[int],DistanceMatrix,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,append/1[E],head,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CircleLinkedList.java,CircleLinkedList,append/1[E],size,1
