file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CoinChange.java,CoinChange,minimumCoins/2[int[],int],49,1,7,0,16,1,4,2,49,3,0,0,0,0,7,7,4,3,0,0,0,26
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CoinChange.java,CoinChange,printAmount/1[int[]],73,1,2,2,6,0,1,1,73,1,0,0,0,1,1,1,1,1,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CoinChange.java,CoinChange,change/2[int[],int],27,1,3,0,10,1,2,2,27,2,0,0,0,0,4,4,3,2,0,0,0,24
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CoinChange.java,CoinChange,main/1[java.lang.String[]],10,2,1,3,6,0,2,1,10,0,0,0,0,4,4,2,2,0,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GuassLegendre.java,GuassLegendre,main/1[java.lang.String[]],11,1,2,2,3,0,1,1,11,1,0,0,0,0,2,1,0,0,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GuassLegendre.java,GuassLegendre,pi/1[int],17,1,2,2,11,1,6,1,17,1,0,0,1,0,12,10,3,1,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/GuassLegendre.java,GuassLegendre,update/4[double,double,double,double],34,1,1,2,8,1,1,4,34,0,0,0,1,0,9,5,7,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/EmptyHeapException.java,DataStructures.Heaps.EmptyHeapException,EmptyHeapException/1[java.lang.String],13,0,1,0,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,4
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,findHeight/1[Node],85,1,7,2,14,4,0,1,85,0,3,0,0,0,4,0,3,1,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,Node/1[int],43,0,1,0,3,0,0,1,43,0,0,0,0,0,0,1,0,0,0,0,0,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,insert/1[int],47,1,4,1,18,0,0,1,47,0,2,0,0,0,0,2,0,2,0,0,0,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,findHeight/0,81,1,1,1,3,1,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,2
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,main/1[java.lang.String[]],11,1,1,5,18,0,1,1,11,0,0,0,0,1,13,1,1,0,0,0,0,6
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/FindHeightOfTree.java,Node,printLevelOrder/0,66,1,4,4,14,0,2,0,66,1,0,0,0,1,0,2,1,2,0,0,0,7
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,contains/1[java.lang.String],448,0,4,4,12,2,1,1,448,2,0,0,0,0,1,3,0,3,0,0,0,9
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CSVFile.java,CSVFile,getElementDouble/2[int,int],272,0,3,5,8,1,0,2,272,0,0,0,0,2,1,0,1,1,0,0,0,16
